"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
292,"NCT04338906","Combination Therapy With Camostat Mesilate + Hydroxychloroquine for COVID-19","CLOCC","Not yet recruiting","No Results Available","COVID","Drug: Camostat Mesilate|Drug: Placebo|Drug: Hydroxychloroquine","Not hospitalized|Time to improvement of 2 categories from admission on a 7-point ordinal scale|Proportion of participants in each group with normalization of fever|Proportion of participants in each group with oxygen saturation > 94% on room air for >24h|Time to fever normalization (if febrile at baseline)|Time to first negative SARS-CoV-2 PCR in NP swap (if pos. at baseline)|Time to first negative SARS-CoV-2 PCR in lower respiratory tract specimens (sputum, bronchoalveolar lavage, tracheal aspirate) (if positive at baseline)|Duration of oxygen therapy|Proportion of participants in each group with need for mechanical ventilation|Duration of hospitalization|All cause mortality","Heinrich-Heine University, Duesseldorf|Universitätsklinikum Hamburg-Eppendorf|University Hospital, Frankfurt|St. Georg Hospital Leipzig, Germany|Hospital Schwabing Munich, Germany|Missioklinik, Wuerzburg, Germany","All","18 Years and older   (Adult, Older Adult)","Phase 4","334","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CLOCC-2020","June 1, 2020","June 1, 2021","December 31, 2021","April 8, 2020",,"April 8, 2020",,,"https://ClinicalTrials.gov/show/NCT04338906"
293,"NCT04292340","Anti-SARS-CoV-2 Inactivated Convalescent Plasma in the Treatment of COVID-19",,"Recruiting","No Results Available","Coronavirus",,"The virological clearance rate of throat swabs, sputum, or lower respiratory tract secretions at day 1|The virological clearance rate of throat swabs, sputum, or lower respiratory tract secretions at day 3|The virological clearance rate of throat swabs, sputum, or lower respiratory tract secretions at day 7|Numbers of participants with different Clinical outcomes|Number of participants with treatment-related adverse events as assessed by CTCAE v5.0","Shanghai Public Health Clinical Center","All","Child, Adult, Older Adult",,"15","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","Anti-SARS-CoV-2","February 1, 2020","July 31, 2020","December 31, 2020","March 3, 2020",,"March 3, 2020","Shanghai Public Health Clinical Center, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04292340"
294,"NCT04326114","Effectiveness and Safety of Respiratory Training in the Prevention and Severity of COVID-19",,"Not yet recruiting","No Results Available","Disease, Infectious|Respiratory Disease|Safety Issues|Effectiveness","Device: Inspiratory training device|Device: Expiratory training device","COVID-19 disease diagnosis|COVID-19 disease symptoms severity|Adverse effects","Universidad Complutense de Madrid","All","18 Years and older   (Adult, Older Adult)","Not Applicable","240","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","Covid_ISCIII 20/265-E_BS","April 26, 2020","September 26, 2020","October 12, 2020","March 30, 2020",,"March 30, 2020",,,"https://ClinicalTrials.gov/show/NCT04326114"
295,"NCT04325048","Clinical Evaluation of Cordio Application in Adult COVID19 Virus Positive Patients",,"Not yet recruiting","No Results Available","Coronavirus Infection","Device: Cordio App","Voice anaysis","Cordio Medical","All","18 Years and older   (Adult, Older Adult)",,"5000","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","COV001","April 2020","June 2021","September 2021","March 27, 2020",,"March 27, 2020",,,"https://ClinicalTrials.gov/show/NCT04325048"
296,"NCT04324047","Cohort Multiple Randomized Controlled Trials Open-label of Immune Modulatory Drugs and Other Treatments in COVID-19 Patients","CORIMUNO-19","Recruiting","No Results Available","Corona Virus Infection",,"Survival|WHO progression scale COVID 19","Assistance Publique - Hôpitaux de Paris","All","18 Years and older   (Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","APHP200375|2020-001246-18","March 27, 2020","March 27, 2021","December 31, 2021","March 27, 2020",,"April 1, 2020","Kremlin Bictre APHP, Le Kremlin-Bicêtre, Ile De France, France|Cochin Aphp, Paris, Ile De France, France|Hegp Aphp, Paris, Ile De France, France",,"https://ClinicalTrials.gov/show/NCT04324047"
297,"NCT04315870","Clinical Characteristics of Coronavirus Disease 2019 (COVID-19) in Pregnancy: The Italian Registry on Coronavirus in Pregnancy.","I-COVID","Recruiting","No Results Available","Infection Viral","Other: pregnant women with laboratory-confirmed 2019-n-CoV","Maternal and perinatal outcomes","Federico II University","Female","18 Years to 50 Years   (Adult)",,"20","Other","Observational","Observational Model: Cohort|Time Perspective: Other","5/20","January 1, 2020","April 20, 2020","April 30, 2020","March 20, 2020",,"March 20, 2020","University of Naples Federico II, Napoli, Italy",,"https://ClinicalTrials.gov/show/NCT04315870"
298,"NCT04337918","Nitric Oxide Releasing Solutions to Prevent and Treat Mild/Moderate COVID-19 Infection","NOCOVID","Not yet recruiting","No Results Available","Corona Virus Infection","Drug: NORS (Nitric Oxide Releasing Solution)","Prevention Primary Endpoint|Treatment Sub Study Primary Endpoint|Prevention Secondary Endpoint|Treatment Sub Study Secondary Endpoint","Sanotize Research and Development corp.|The Emmes Company, LLC","All","19 Years and older   (Adult, Older Adult)","Phase 2","200","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","COVID-CTP-01","April 6, 2020","July 31, 2020","September 30, 2020","April 8, 2020",,"April 8, 2020",,,"https://ClinicalTrials.gov/show/NCT04337918"
299,"NCT04326036","Use of cSVF Via IV Deployment for Residual Lung Damage After Symptomatic COVID-19 Infection","GARM-COVID19","Enrolling by invitation","No Results Available","Pulmonary Alveolar Proteinosis|COPD|Idiopathic Pulmonary Fibrosis|Viral Pneumonia|Coronavirus Infection|Interstitial Lung Disease","Procedure: Microcannula Harvest Adipose Derived tissue stromal vascular fraction (tSVF)|Device: Centricyte 1000|Procedure: IV Deployment Of cSVF In Sterile Normal Saline IV Solution|Drug: Liberase Enzyme (Roche)|Drug: Sterile Normal Saline for Intravenous Use","Incidence of Treatment-Emergent Adverse Events|Pulmonary Function Analysis|Digital Oximetry","Healeon Medical Inc|Robert W. Alexander, MD","All","18 Years to 90 Years   (Adult, Older Adult)","Early Phase 1","10","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GARM COVID19","March 25, 2020","November 1, 2021","December 31, 2021","March 30, 2020",,"March 31, 2020","Robert W. Alexander, MD, FICS, LLC, Stevensville, Montana, United States",,"https://ClinicalTrials.gov/show/NCT04326036"
300,"NCT04322396","Proactive Prophylaxis With Azithromycin and Chloroquine in Hospitalized Patients With COVID-19","ProPAC-COVID","Not yet recruiting","No Results Available","Virus Diseases|Infection Viral","Drug: Azithromycin|Drug: Hydroxychloroquine|Drug: Placebo oral tablet","Number of days alive and discharged from hospital within 14 days|Categorization of hospitalization status|Admitted to intensive care unit, if admitted to ICU then length of stay|Have used Non-invasive ventilation (NIV) during hospitalization|Mortality|Length of hospitalization|Days alive and discharged from hospital|Number of readmissions (all causes)|Number of days using non-invasive ventilation (NIV)|Change in patient's oxygen partial pressure|Change in patient's carbondioxid partial pressure|Level of pH in blood|Time for no oxygen supplement (or regular oxygen supplement ""LTOT"")","Chronic Obstructive Pulmonary Disease Trial Network, Denmark","All","Child, Adult, Older Adult","Phase 4","226","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","KronLungesyg_COVID_19_protokol","April 1, 2020","October 31, 2020","March 31, 2021","March 26, 2020",,"March 26, 2020",,,"https://ClinicalTrials.gov/show/NCT04322396"
301,"NCT04274322","Identifying Critically-ill Patients With COVID-19 Who Will Benefit Most From Nutrition Support Therapy: Validation of the NUTRIC Nutritional Risk Assessment Tool",,"Active, not recruiting","No Results Available","Critically Ill|Coronavirus Infections","Other: Nutrition support","28-day all cause mortality|All cause infection|The rate of complications|Length of ICU stay|Duration of mechanical ventilation","Peking University Third Hospital|School of Pharmaceutical Sciences, Peking University, Beijing, China|Department of Medicine, Queen's University, Kingston, Ontario, Canada","All","18 Years and older   (Adult, Older Adult)",,"117","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","COV_NUTRIC","February 19, 2020","April 4, 2020","July 2020","February 18, 2020",,"April 8, 2020","Peking University Third Hospital, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04274322"
302,"NCT04324073","Cohort Multiple Randomized Controlled Trials Open-label of Immune Modulatory Drugs and Other Treatments in COVID-19 Patients - Sarilumab Trial - CORIMUNO-19 - SARI","CORIMUNO-SARI","Recruiting","No Results Available","Corona Virus Infection","Drug: Sarilumab","Survival without needs of ventilator utilization at day 14.|WHO progression scale <=5 at day 4|Cumulative incidence of successful tracheal extubation (defined as duration extubation > 48h) at day 14|WHO progression scale <=7 at day 4|WHO progression scale|Survival|28-day ventilator free-days|respiratory acidosis at day 4|PaO2/FiO2 ratio|time to oxygen supply independency|duration of hospitalization|time to negative viral excretion|time to ICU discharge|time to hospital discharge","Assistance Publique - Hôpitaux de Paris","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","240","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","APHP200375-2","March 27, 2020","March 27, 2021","December 31, 2021","March 27, 2020",,"April 1, 2020","Kremlin Bicetre hospital APHP, Le Kremlin-Bicêtre, Ile De France, France|Cochin Aphp, Paris, Ile De France, France|HEGP, Paris, Ile De France, France|NECKER Hospital, Paris, France",,"https://ClinicalTrials.gov/show/NCT04324073"
303,"NCT04321278","Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II)",,"Recruiting","No Results Available","Coronavirus Infections|Pneumonia, Viral","Drug: Hydroxychloroquine + azithromycin|Drug: Hydroxychloroquine","Evaluation of the clinical status|All-cause mortality|Number of days free from mechanical ventilation|Duration of mechanical ventilation|Duration of hospitalization|Other secondary infections|Time from treatment start to death","Hospital Israelita Albert Einstein|EMS|Hospital do Coracao|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|Cristália Produtos Químicos Farmacêuticos Ltda.","All","18 Years and older   (Adult, Older Adult)","Phase 3","440","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","30155020.5.1001.0071","March 28, 2020","August 30, 2020","August 30, 2020","March 25, 2020",,"April 1, 2020","Instituto de Cardiologia do Distrito Federal, Brasília, Distrito Federal, Brazil|Fundação Social Rural de Colatina, Colatina, Espirito Santo, Brazil|Hospital Vera Cruz AS, Belo Horizonte, Minas Gerais, Brazil|Hospital Maternidade E Pronto Socorro Santa Lucia Ltda, Poços De Caldas, Minas Gerais, Brazil|Universidade Estadual de Londrina, Londrina, Paraná, Brazil|Hospital Universitário Onofre Lopes, Natal, Rio Grande Do Norte, Brazil|Irmandade da Santa Casa de Misericordia de Porto Alegre, Porto Alegre, Rio Grande Do Sul, Brazil|Maestri E Kormann Consultoria Medico-Cientifica, Blumenau, Santa Catarina, Brazil|Sociedade Literaria e Caritativa Santo Agostinho, Criciúma, Santa Catarina, Brazil|Fundação Pio XII, Barretos, São Paulo, Brazil|Santa Casa de Misericordia de Votuporanga, Votuporanga, São Paulo, Brazil|Hospital Israelita Albert Einstein, São Paulo, Brazil|AMICO Saude LTDA, São Paulo, Brazil|Associacao Beneficente Siria, São Paulo, Brazil|Prevent Senior Private Operadora de Saude Ltda, São Paulo, Brazil|Real e Benemérita Associação Portuguesa de Beneficência/SP, São Paulo, Brazil|Real e Benemérita Associação Portuguesa de Beneficência/SP, São Paulo, Brazil|Santa Casa de Misericórdia, São Paulo, Brazil|Secretaria de Saúde do Estado de São Paulo, São Paulo, Brazil|Serv Social da Industria do papel, papelão e cortiça do estado de SP, São Paulo, Brazil|Sociedade Beneficente de Senhoras Hospital Sírio-Libanês, São Paulo, Brazil|Universidade Federal de São Paulo, São Paulo, Brazil",,"https://ClinicalTrials.gov/show/NCT04321278"
304,"NCT04260594","Clinical Study of Arbidol Hydrochloride Tablets in the Treatment of Pneumonia Caused by Novel Coronavirus",,"Not yet recruiting","No Results Available","2019-nCoV","Drug: Arbidol|Other: basic treatment","Virus negative conversion rate in the first week|Virus negative conversion rate|Antipyretic rate|Symptom relief time|Finger oxygen improvement rate|Disease progression rate|Mortality rate|Incidence of severe adverse reactions|Change curve of peripheral blood lymphocyte count","Jieming QU|Ruijin Hospital","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 4","380","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Abdrcspc202001","February 7, 2020","July 1, 2020","December 30, 2020","February 7, 2020",,"February 7, 2020",,,"https://ClinicalTrials.gov/show/NCT04260594"
305,"NCT04314232","Mechanisms to Morbidity and Mortality for Covid-19","COVID MECH","Not yet recruiting","No Results Available","Coronavirus|SARS",,"Change in viral expression in association to organspecific biomarkers","University Hospital, Akershus","All","18 Years and older   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","117589","March 23, 2020","December 31, 2021","December 31, 2021","March 19, 2020",,"March 19, 2020",,,"https://ClinicalTrials.gov/show/NCT04314232"
306,"NCT04330261","Clinical Characteristics and Outcomes of Pediatric COVID-19","PERN-COVID-19","Recruiting","No Results Available","COVID-19|SARS-CoV-2 Infection|Pediatric ALL|Pneumonia, Viral|Pandemic Response","Other: Exposure (not intervention) - SARS-CoV-2 infection","Clinical characteristics of children with SARS-CoV-2|Factors associated with severe COVID-19 outcomes|Health care resource utilization for COVID-19 patient management|Sensitivity and specificity of COVID-19 case screening policies","University of Calgary","All","up to 18 Years   (Child, Adult)",,"12500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","REB18-0107_MOD9","March 18, 2020","March 17, 2021","March 17, 2022","April 1, 2020",,"April 1, 2020","University of Calgary/Alberta Children's Hospital, Calgary, Alberta, Canada",,"https://ClinicalTrials.gov/show/NCT04330261"
307,"NCT04336748","HCQ for Primary Prophylaxis Against COVID19 in Health-care Workers",,"Not yet recruiting","No Results Available","Sars-CoV2|Infection Viral|Healthcare Worker|Prophylaxis","Drug: Hydroxychloroquine","Symptomatic or asymptomatic SARS-CoV-2 infection confirmed by PCR|Viral load during SARS-CoV-2 infection|Seroconversion during the study period|Incidence of any acute respiratory infection|Days of sick leave","Medical University of Vienna","All","18 Years and older   (Adult, Older Adult)","Phase 3","440","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention","HCQ prophylaxis for COVID19","April 2020","July 2020","August 2020","April 7, 2020",,"April 7, 2020",,,"https://ClinicalTrials.gov/show/NCT04336748"
308,"NCT04326426","ODYSSEY: A Study to Investigate the Efficacy of Tradipitant in Treating Severe or Critical COVID-19 Infection",,"Not yet recruiting","No Results Available","Coronavirus Infection","Drug: Tradipitant|Drug: Placebo","Proportion of participants with normalization of fever and oxygen saturation by day 14|Treatment and prevention of inflammatory lung injury as measured by change in baseline of interleukin-6 (IL-6)|Rate of Decline of COVID-19 viral load assessed by RT-PCR from nasopharyngeal samples|In-hospital mortality|Mean change in NEWS2 score from baseline|Understand the effect of genetics for treatment response through whole genome sequence of the participant and the COVID-19 virus|Reduction from baseline of NRS for cough","Vanda Pharmaceuticals","All","18 Years to 90 Years   (Adult, Older Adult)","Phase 3","300","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","VLY-686-3501","April 1, 2020","August 1, 2020","August 31, 2020","March 30, 2020",,"April 6, 2020",,,"https://ClinicalTrials.gov/show/NCT04326426"
309,"NCT04327180","PREdiction of DIagnosed Covid-19 infecTion in IUC Patients","PREDICT","Recruiting","No Results Available","Infection Viral|Coronavirus|ARDS|Pneumonia",,"Correlation between nasal and deep PCR positivity for Covid-19 patients performed and all predictors for Covid-19 patients performed within 24 hours of admission to ICU|Coinfections|Respiratory dysfunction requiring mechanical ventilation|Sequential Organ Failure Assessment (SOFA) Score|SAPS II score|Disseminated Intravascular Coagulation (DIC) score|Number of days on vasopressive amines|Occurrence of an event of venous or arterial thromboembolic disease|Number of days with extra renal treatment (ERA)|Number of patients alive after ICU stay less than 28 days will be tracked|Short Form 36|Hospital anxiety and depression scale (HADS)|Impact of Event Scale - revised (IES-R)|Post-traumatic stress disorder Checklist version DSM-5 (PSL-5)|Modified Medical Research Council (MMRC) Dyspnea Scale|Correlation between number of patient deaths and all predictors for Covid-19 including anamnestic, clinical, biological, radiological parameters|Viral clearance","University Hospital, Lille","All","18 Years and older   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2020_20|2020-A00763-36","March 30, 2020","September 2021","September 2021","March 30, 2020",,"April 6, 2020","Hôpital Roger Salengro, ICU, CHU Lille, Lille, France",,"https://ClinicalTrials.gov/show/NCT04327180"
310,"NCT04291729","Evaluation of Ganovo （Danoprevir ） Combined With Ritonavir in the Treatment of Novel Coronavirus Infection",,"Completed","No Results Available","2019-nCoV Pneumonia","Drug: Ganovo+ritonavir+/-Interferon nebulization","Rate of composite adverse outcomes|Time to recovery|Rate of no fever|Rate of no cough|Rate of no dyspnea|Rate of no requiring supplemental oxygen|Rate of undetectable New coronavirus pathogen nucleic acid|Rate of mechanical ventilation|Rate of ICU admission|Rate of serious adverse event","The Ninth Hospital of Nanchang|Ascletis Pharmaceuticals Co., Ltd.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 4","11","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ASC-CTP-NC-01","February 17, 2020","March 19, 2020","March 19, 2020","March 2, 2020",,"March 24, 2020","The Ninth Hospital of Nanchang, Nanchang, Jiangxi, China",,"https://ClinicalTrials.gov/show/NCT04291729"
311,"NCT04334434","Telerehabilitation in Individuals Over 65 Years of Age Having Social Isolation Due to Coronavirus (Covid-19)",,"Not yet recruiting","No Results Available","Telerehabilitation","Other: Telerehabilitation","Physical Activity Scale for the Elderly|Nottingham Health Profile|Loneliness Scale for the Elderly","Kubra Koce, MSc PT|Istanbul University-Cerrahpasa","All","65 Years and older   (Older Adult)","Not Applicable","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","002","April 1, 2020","June 1, 2020","July 31, 2020","April 6, 2020",,"April 7, 2020",,,"https://ClinicalTrials.gov/show/NCT04334434"
312,"NCT04290858","Nitric Oxide Gas Inhalation Therapy for Mild/Moderate COVID19 Infection","NoCovid","Withdrawn","No Results Available","Coronavirus Infections|Pneumonia, Viral|Dyspnea","Drug: Nitric Oxide","Reduction in the incidence of intubation and mechanical ventilation|Mortality|Negative conversion of COVID-19 RT-PCR from upper respiratory tract|Time to clinical recovery","Xijing Hospital|Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico","All","18 Years and older   (Adult, Older Adult)","Phase 2","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","COVID19 NOgas mild","March 1, 2020","March 1, 2021","February 1, 2022","March 2, 2020",,"March 24, 2020",,,"https://ClinicalTrials.gov/show/NCT04290858"
313,"NCT04257656","Severe 2019-nCoV Remdesivir RCT",,"Recruiting","No Results Available","2019-nCov|Remdesivir","Drug: Remdesivir|Drug: Remdesivir placebo","Time to Clinical Improvement (TTCI) [Censored at Day 28]|Clinical status|Time to Hospital Discharge OR NEWS2 (National Early Warning Score 2) of ≤ 2 maintained for 24 hours.|All cause mortality|Duration (days) of mechanical ventilation|Duration (days) of extracorporeal membrane oxygenation|Duration (days) of supplemental oxygenation|Length of hospital stay (days)|Time to 2019-nCoV RT-PCR negativity in upper and lower respiratory tract specimens|Change (reduction) in 2019-nCoV viral load in upper and lower respiratory tract specimens as assessed by area under viral load curve.|Frequency of serious adverse drug events","Capital Medical University","All","18 Years and older   (Adult, Older Adult)","Phase 3","453","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CAP-China remdesivir 2","February 6, 2020","April 3, 2020","May 1, 2020","February 6, 2020",,"February 24, 2020","Bin Cao, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04257656"
314,"NCT04288713","Eculizumab (Soliris) in Covid-19 Infected Patients","SOLID-C19","Available","No Results Available","Coronavirus","Drug: Eculizumab",,"Hudson Medical","All","18 Years and older   (Adult, Older Adult)",,,"Other","Expanded Access:Individual Patients|Treatment IND/Protocol",,"COVID19",,,,"February 28, 2020",,"March 30, 2020",,,"https://ClinicalTrials.gov/show/NCT04288713"
315,"NCT04318366","COVID-19 Patients Characterization, Biobank, Treatment Response and Outcome Predictor","COVID-BioB","Recruiting","No Results Available","Coronavirus Infections","Other: Observational Study","Characterize Patients With SARS-Cov-2 Infection and to Create a Biobank to Identify Predictors of Disease Severity, Mortality and Treatment Response","Università Vita-Salute San Raffaele","All","18 Years and older   (Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","COVID-BioB/OSR","March 19, 2020","March 19, 2022","March 19, 2022","March 24, 2020",,"March 31, 2020","Autoimmunity and Vascular Inflammation Unit, Division of Regenerative Medicine, Stem Cells and Gene Therapy - IRCCS San Raffaele Scientific Institute, Milan, Lombardy, Italy|AIDS Immunopathogenesis Unit - IRCCS San Raffaele Scientific Institute, Milan, Lombardy, Italy|Department of Infection Diseases - IRCCS San Raffaele Scientific Institute -, Milan, Lombardy, Italy|Department of Internal Medicine - IRCCS San Raffaele Scientific Institute, Milan, Lombardy, Italy|Diabetes Research Institute -IRCCS San Raffaele Scientific Istitute, Milan, Lombardy, Italy|Division of Immunology, Transplantation and Infectious Diseases - IRCCS San Raffaele Scientific Institute, Milan, Lombardy, Italy|Division of Research of Regenerative Medicine, Cell and Gene Therapy - IRCCS San Raffaele Scientific Istitute, Milan, Lombardy, Italy|Laboratory of Microbiology and Virology - IRCCS San Raffaele Scientific Institute, Milan, Lombardy, Italy|Nephrology Unit - IRCCS San Raffaele Scientific Institute, Milan, Lombardy, Italy|Strategic Program in Nephrology and Dialysis - IRCCS San Raffaele Scientific Institute, Milan, Lombardy, Italy|Viral pathogens and biosafety Unit - IRCCS San Raffaele Scietific Institute, Milan, Lombardy, Italy|Unit of Immunology, Rheumatology, Allergy and Rare Diseases - IRCCS San Raffaele Scientific Institute, Milan, Lombardy, Italy|Università Vita-Salute San Raffaele, Milano, Mi, Italy",,"https://ClinicalTrials.gov/show/NCT04318366"
316,"NCT04320953","Non-contact Endoscopy at Covid-19 Outbreak",,"Completed","No Results Available","Gastrointestinal Disease|Infectious Disease","Device: Non-contact MCE system","Technical success|Clinical success|Adverse events","Changhai Hospital","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","1","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","ncMCE1","March 16, 2020","March 16, 2020","March 16, 2020","March 25, 2020",,"March 25, 2020","Changhai Hospital, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04320953"
317,"NCT04338802","Efficacy and Safety of Nintedanib in the Treatment of Pulmonary Fibrosis in Patients With Moderate to Severe COVID -19",,"Not yet recruiting","No Results Available","COVID-19|Nintedanib|Safety|Effect of Drugs","Drug: Nintedanib 150 MG|Other: Placebo","Changes in forced vital capacity (FVC)|Changes in carbon monoxide dispersion (DLco%)|Changes in the six-minute walk test (6MWT)|Changes in High resolution CT score","Huilan Zhang|Tongji Hospital","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","96","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","huilanz Zhang","April 2, 2020","May 4, 2020","August 1, 2020","April 8, 2020",,"April 8, 2020",,,"https://ClinicalTrials.gov/show/NCT04338802"
318,"NCT04308187","Influence of the COvid-19 Epidemic on STRESS","COVISTRESS","Not yet recruiting","No Results Available","Stress, Psychological",,"Stress|Perception and knowledge of the epidemic|Feeling of information on the part of companies / establishments / governments|Means of protection|Feelings of fear generated and its impact on feelings of stigmatization towards ethnic groups or categories of patients|Sociodemographic factors and lifestyle habits","University Hospital, Clermont-Ferrand|Faculty of Medicine, Clermont-Ferrand, France|UMR CNRS 6024 LaPSCo, Clermont-Ferrand, France|Wittyfit, Paris, France","All","Child, Adult, Older Adult",,"50000","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","2020 COVISTRESS","March 11, 2020","March 2022","March 2022","March 13, 2020",,"March 13, 2020","University Hospital, Clermont-Ferrand, Clermont-Ferrand, France",,"https://ClinicalTrials.gov/show/NCT04308187"
319,"NCT04306393","Nitric Oxide Gas Inhalation in Severe Acute Respiratory Syndrome in COVID-19","NOSARSCOVID","Recruiting","No Results Available","SARS (Severe Acute Respiratory Syndrome)|Coronavirus","Drug: Nitric Oxide Gas","Change of arterial oxygenation at 48 hours from enrollment|Time to reach normoxemia during the first 28 days after enrollment|Proportion of SARS-nCoV-2 free patients during the first 28 days after enrollment|Survival at 28 days from enrollment|Survival at 90 days from enrollment","Massachusetts General Hospital|Xijing Hospital|Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico|Niguarda Hospital","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","NO-SARS-COVID-19","March 21, 2020","March 21, 2021","March 21, 2022","March 12, 2020",,"April 7, 2020","University of Alabama, Birmingham, Alabama, United States|Louisiana State University Health Shreveport, Shreveport, Louisiana, United States|Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04306393"
320,"NCT04322344","Escin in Patients With Covid-19 Infection","add-on-COV2","Recruiting","No Results Available","Coronavirus Infections","Drug: Escin|Drug: standard therapy","Mortality rate|Clinical status evaluated in agreement with guidelines|The differences in oxygen intake methods|Time of hospitalization (days)|Time of hospitalization in intensive care units|Pulmonary function","University of Catanzaro|Azienda Ospedaliera Pugliese Ciaccio|Azienda Ospedaliera Policlinico ""Mater Domini""","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2|Phase 3","120","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Supportive Care","covid-19 add-on therapy","March 23, 2020","June 30, 2020","August 30, 2020","March 26, 2020",,"March 27, 2020","Luca Gallelli, Catanzaro, Italy",,"https://ClinicalTrials.gov/show/NCT04322344"
